MajorityGenre,MinorityGenre,SongName,ArtistName,SongLink
Disco,Funk-pop / Soul song,Sugar,Maroon 5,https://www.youtube.com/watch?v=09R8_2nJtjg
Disco,Funk / Pop,Get Lucky,Daft Punk (ft. Pharrell Williams & Nile Rodgers),https://www.youtube.com/watch?v=5NV6Rdv1a3I
EDM,~,Something Just Like This,"The Chainsmokers, Coldplay",https://www.youtube.com/watch?v=FM7MFYoylVs
Electronic Music,Deep House,Paradise,MEDUZA (ft. Dermot Kennedy),https://www.youtube.com/watch?v=e7HBypw4lhY
Electronic Music,Electro House,Judas,Lady Gaga,https://www.youtube.com/watch?v=wagn8Wrmzuc
Electronic Music,Electonic Music,I’m Good genre,"Yohan Gerber, Poylow & Zana",https://www.youtube.com/watch?v=Fp8msa5uYsc
Electronic Music,House / Urban-dance,Titanium,David Guetta (ft. Sia),https://www.youtube.com/watch?v=JRfuAukYTKg
Hip-hop,Trap,Rockstar,Post Malone,https://www.youtube.com/watch?v=UceaB4D0jpo
Hip-hop,Trap,Godzilla,"Eminem, Juice Wrld",https://www.youtube.com/watch?v=r_0JjYUe5jo
Hip-hop,West Coast / Gangsta rap,Still D.R.E.,"Dr.Dre, Snoop Dogg",https://www.youtube.com/watch?v=_CL6n0FJZpk
Hip-hop,UK Drill,Sprinter,"Dave, Central Cee",https://www.youtube.com/watch?v=pSY3i5XHHXo
Hip-hop,Jersey Club,Kasablanka,"kkluv, 那奇沃夫",https://www.youtube.com/watch?v=a5Py7YZ0Krc
Hip-hop,Emo Rap,工廠,河南說唱之神,https://www.youtube.com/watch?v=Hutbew-BFfk
Pop Music,City Pop,Mayonaka no door/Stay With Me,Miki Matsubara,https://www.youtube.com/watch?v=nRmlLrI0OVk
Pop Music,Dancehall / Tropical House,Shape of You,Ed Sheeran,https://www.youtube.com/watch?v=JGwWNGJdvx8
Pop Music,Chamber Pop Ballad,Lovely,"Billie Eilish, Khalid",https://www.youtube.com/watch?v=V1Pl8CzNzCw
Pop Music,Pop Rock,Counting Stars,OneRepublic,https://www.youtube.com/watch?v=hT_nvWreIhg
Pop Music,Trap EDM / Video Game Music / Pop Epic Music,GODS,NewJeans,https://www.youtube.com/watch?v=C3GouGa0noM
Pop Music,~,We Don't Talk Anymore,Charlie Puth (ft. Selena Gomez),https://www.youtube.com/watch?v=3AtDnEC4zak
Pop Music,Pop rock / Soul / Funk,Attention,Charlie Puth,https://www.youtube.com/watch?v=nfs8NYg7yQM
Pop Rock,Synth-pop,Ghost,Justin Bieber,https://www.youtube.com/watch?v=Fp8msa5uYsc
Rock,~,Bohemian Rhapsody,Queen,https://www.youtube.com/watch?v=fJ9rUzIMcZQ
Rock,Nu Metal / Pop Rock / Alternative Rock,Numb,Linkin Park,https://www.youtube.com/watch?v=kXYiU_JCYtU
Rock,~,Monster,Skillet,https://www.youtube.com/watch?v=1mjlM_RnsVE
Rock,Nu Metal / Pop Rock / Alternative Rock,In the end,Linkin Park,https://www.youtube.com/watch?v=eVTXPUF4Oz4
Rock,~,THE PHOENIX,Fall Out Boy,https://www.youtube.com/watch?v=5JqY-6q-RNA
Soul Music,Hiphop / New Jack Swing / R&B / Funk,That’s What I Like,Bruno Mars,https://www.youtube.com/watch?v=PMivT7MJ41M
Soul Music,Pop-soul,Die With A Smile,"Lady Gaga, Bruno Mars",https://www.youtube.com/watch?v=kPa7bsKwL-c
